Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Chhattisgarh, 28-02-2021, M, 6.47, 2296190.00, 43.20
Chhattisgarh, 31-03-2021, M, 3.32, 2258407.00, 41.01
Chhattisgarh, 30-04-2021, M, 1.90, 2405634.00, 42.94
Chhattisgarh, 31-05-2021, M, 3.74, 2294277.00, 41.63
Chhattisgarh, 30-06-2021, M, 3.31, 2387240.00, 43.03
Chhattisgarh, 31-07-2021, M, 1.81, 2299903.00, 40.72
Chhattisgarh, 31-08-2021, M, 3.39, 2294300.00, 41.18
Chhattisgarh, 30-09-2021, M, 4.60, 2420872.00, 43.90
Chhattisgarh, 31-10-2021, M, 2.90, 2427072.00, 43.14
Chhattisgarh, 30-11-2021, M, 1.59, 2331481.00, 40.79
Chhattisgarh, 31-12-2021, M, 0.86, 2355360.00, 40.80
Chhattisgarh, 31-01-2022, M, 3.23, 2395127.00, 42.40
Chhattisgarh, 28-02-2022, M, 1.67, 2381858.00, 41.41
Chhattisgarh, 31-03-2022, M, 1.46, 2322587.00, 40.19
Chhattisgarh, 30-04-2022, M, 0.34, 2330110.00, 39.77
Chhattisgarh, 31-05-2022, M, 0.98, 2501392.00, 42.86
Chhattisgarh, 30-06-2022, M, 2.16, 2379713.00, 41.17
Chhattisgarh, 31-07-2022, M, 0.22, 2397372.00, 40.57
Chhattisgarh, 31-08-2022, M, 0.13, 2398491.00, 40.45
Chhattisgarh, 30-09-2022, M, 0.54, 2513019.00, 42.46
Chhattisgarh, 31-10-2022, M, 0.88, 2438993.00, 41.25
Chhattisgarh, 30-11-2022, M, 0.47, 2408562.00, 40.47
Chhattisgarh, 31-12-2022, M, 6.39, 2421584.00, 43.15
Chhattisgarh, 31-01-2023, M, 0.85, 2508745.00, 42.10
Chhattisgarh, 28-02-2023, M, 1.75, 2513409.00, 42.47
Delhi, 31-01-2016, M, 10.59, 5338313.00, 44.03
Delhi, 29-02-2016, M, 10.83, 4690351.00, 38.71
Delhi, 31-03-2016, M, 10.51, 5369646.00, 44.06
Delhi, 30-04-2016, M, 5.73, 5802357.00, 45.09
Delhi, 31-05-2016, M, 17.44, 5381843.00, 47.65
Delhi, 30-06-2016, M, 15.91, 4886343.00, 42.38
Delhi, 31-07-2016, M, 14.16, 5180801.00, 43.91
Delhi, 31-08-2016, M, 6.45, 5789929.00, 44.93
Delhi, 30-09-2016, M, 7.58, 5299196.00, 41.53
Delhi, 31-10-2016, M, 11.58, 5046339.00, 41.24
Delhi, 30-11-2016, M, 11.30, 5369670.00, 43.65
Delhi, 31-12-2016, M, 11.15, 5529497.00, 44.77
Delhi, 31-01-2017, M, 10.88, 5141984.00, 41.41
Delhi, 28-02-2017, M, 12.12, 5072383.00, 41.34
Delhi, 31-03-2017, M, 10.80, 5017896.00, 40.19
Delhi, 30-04-2017, M, 7.27, 5494696.00, 42.24
Delhi, 31-05-2017, M, 5.31, 5219192.00, 39.20
Delhi, 30-06-2017, M, 3.72, 5153807.00, 37.99
Delhi, 31-07-2017, M, 3.17, 5012831.00, 36.65
Delhi, 31-08-2017, M, 6.53, 5195783.00, 39.26
Delhi, 30-09-2017, M, 4.49, 4955900.00, 36.57
Delhi, 31-10-2017, M, 3.65, 5407370.00, 39.46
Delhi, 30-11-2017, M, 2.07, 5163953.00, 36.99
Delhi, 31-12-2017, M, 5.66, 5323706.00, 39.49
Delhi, 31-01-2018, M, 2.19, 5320585.00, 37.98
Delhi, 28-02-2018, M, 1.49, 5456923.00, 38.59
Delhi, 31-03-2018, M, 2.94, 4979929.00, 35.66
Delhi, 30-04-2018, M, 3.48, 5264906.00, 37.83
Delhi, 31-05-2018, M, 8.88, 5193876.00, 39.44
Delhi, 30-06-2018, M, 9.06, 5231676.00, 39.71
Delhi, 31-07-2018, M, 7.28, 5144157.00, 38.21
Delhi, 31-08-2018, M, 12.45, 5343377.00, 41.94
Delhi, 30-09-2018, M, 12.68, 5546415.00, 43.54
Delhi, 31-10-2018, M, 9.93, 5207076.00, 39.53
Delhi, 30-11-2018, M, 12.06, 5393830.00, 41.85
Delhi, 31-12-2018, M, 9.60, 5762234.00, 43.39
Delhi, 31-01-2019, M, 12.25, 5842691.00, 45.22
Delhi, 28-02-2019, M, 11.65, 5302562.00, 40.67
Delhi, 31-03-2019, M, 13.14, 5307416.00, 41.31
Delhi, 30-04-2019, M, 8.33, 5474214.00, 40.28
Delhi, 31-05-2019, M, 12.31, 5756472.00, 44.17
Delhi, 30-06-2019, M, 12.76, 5550172.00, 42.71
Delhi, 31-07-2019, M, 14.68, 5393093.00, 42.34
Delhi, 31-08-2019, M, 13.52, 5552510.00, 42.90
Delhi, 30-09-2019, M, 20.59, 5642254.00, 47.36
Delhi, 31-10-2019, M, 12.41, 6030364.00, 45.78
Delhi, 30-11-2019, M, 16.11, 5439600.00, 43.02
Delhi, 31-12-2019, M, 11.07, 5718340.00, 42.56
Delhi, 31-01-2020, M, 22.45, 5647493.00, 48.09
Delhi, 29-02-2020, M, 14.86, 5708807.00, 44.18
Delhi, 31-03-2020, M, 17.09, 5401392.00, 42.82
Delhi, 30-04-2020, M, 16.51, 3003787.00, 23.59
Delhi, 31-05-2020, M, 43.02, 2502794.00, 28.73
Delhi, 30-06-2020, M, 18.11, 4306807.00, 34.32
Delhi, 31-07-2020, M, 20.43, 4148109.00, 33.94
Delhi, 31-08-2020, M, 13.62, 4728350.00, 35.55
Delhi, 30-09-2020, M, 12.64, 4813863.00, 35.71
Delhi, 31-10-2020, M, 6.19, 4710193.00, 32.46
Delhi, 30-11-2020, M, 6.55, 4903210.00, 33.84
Delhi, 31-12-2020, M, 7.49, 5202146.00, 36.18
Delhi, 31-01-2021, M, 12.57, 5014724.00, 36.81
Delhi, 28-02-2021, M, 8.02, 5035622.00, 35.06
Delhi, 31-03-2021, M, 9.37, 4969192.00, 35.03
Delhi, 30-04-2021, M, 27.68, 4028115.00, 35.50
Delhi, 31-05-2021, M, 46.25, 2760409.00, 32.65
Delhi, 30-06-2021, M, 8.47, 4976895.00, 34.49
Delhi, 31-07-2021, M, 10.73, 4850709.00, 34.38
Delhi, 31-08-2021, M, 11.58, 4922386.00, 35.14
Delhi, 30-09-2021, M, 17.01, 5070844.00, 38.48
Delhi, 31-10-2021, M, 11.11, 5230602.00, 36.97
Delhi, 30-11-2021, M, 9.22, 4823006.00, 33.30
Delhi, 31-12-2021, M, 9.85, 5042093.00, 34.97
Delhi, 31-01-2022, M, 14.21, 5203753.00, 37.83
Delhi, 28-02-2022, M, 9.41, 5198980.00, 35.71
Delhi, 31-03-2022, M, 8.81, 5007986.00, 34.09
Delhi, 30-04-2022, M, 11.23, 5232932.00, 36.51
Delhi, 31-05-2022, M, 13.85, 5270198.00, 37.79
Delhi, 30-06-2022, M, 10.32, 5179362.00, 35.59
Delhi, 31-07-2022, M, 8.98, 5044390.00, 34.07
Delhi, 31-08-2022, M, 8.16, 5278827.00, 35.25
Delhi, 30-09-2022, M, 9.70, 5481853.00, 37.14
Delhi, 31-10-2022, M, 6.67, 5269315.00, 34.46
Delhi, 30-11-2022, M, 12.71, 5371852.00, 37.47
Delhi, 31-12-2022, M, 21.07, 5471808.00, 42.11
Delhi, 31-01-2023, M, 16.79, 5462940.00, 39.78
Delhi, 28-02-2023, M, 8.62, 5195645.00, 34.37
Goa, 31-01-2016, M, 12.31, 400703.00, 60.22
Goa, 29-02-2016, M, 13.54, 371433.00, 56.54
Goa, 31-03-2016, M, 3.77, 385066.00, 52.61
Goa, 30-04-2016, M, 7.72, 364737.00, 51.90
Goa, 31-05-2016, M, 16.77, 389268.00, 61.33
Goa, 30-06-2016, M, 17.06, 372820.00, 58.88
Goa, 31-07-2016, M, 5.78, 402131.00, 55.83
Goa, 31-08-2016, M, 9.62, 367999.00, 53.20
Goa, 30-09-2016, M, 14.38, 387591.00, 59.07
Goa, 31-10-2016, M, 13.72, 376867.00, 56.93
Goa, 30-11-2016, M, 4.33, 390275.00, 53.10
Goa, 31-12-2016, M, 8.66, 374879.00, 53.36
Goa, 31-01-2017, M, 14.47, 394927.00, 59.96
Goa, 28-02-2017, M, 14.29, 379169.00, 57.38
Goa, 31-03-2017, M, 4.02, 395910.00, 53.43
Goa, 30-04-2017, M, 5.97, 357148.00, 49.14
Goa, 31-05-2017, M, 10.76, 389529.00, 56.40
Goa, 30-06-2017, M, 10.27, 369906.00, 53.21
Goa, 31-07-2017, M, 3.69, 377929.00, 50.58
Goa, 31-08-2017, M, 6.67, 363334.00, 50.12
Goa, 30-09-2017, M, 8.91, 384558.00, 54.29
Goa, 31-10-2017, M, 8.50, 369146.00, 51.81
Goa, 30-11-2017, M, 2.94, 372843.00, 49.28
Goa, 31-12-2017, M, 3.76, 388384.00, 51.70
Goa, 31-01-2018, M, 2.09, 371876.00, 48.60
Goa, 28-02-2018, M, 6.70, 343854.00, 47.11
Goa, 31-03-2018, M, 2.96, 385827.00, 50.75
Goa, 30-04-2018, M, 5.47, 376333.00, 50.76
Goa, 31-05-2018, M, 2.04, 382705.00, 49.75
Goa, 30-06-2018, M, 3.14, 342062.00, 44.92
Goa, 31-07-2018, M, 3.04, 375138.00, 49.15
Goa, 31-08-2018, M, 7.14, 368007.00, 50.28
Goa, 30-09-2018, M, 3.14, 360515.00, 47.16
Goa, 31-10-2018, M, 7.25, 341669.00, 46.62
Goa, 30-11-2018, M, 2.36, 346251.00, 44.82
Goa, 31-12-2018, M, 7.14, 362257.00, 49.25
Goa, 31-01-2019, M, 9.17, 299715.00, 41.60
Goa, 28-02-2019, M, 7.64, 282213.00, 38.48
Goa, 31-03-2019, M, 8.96, 284460.00, 39.30
Goa, 30-04-2019, M, 10.60, 307932.00, 43.27
Goa, 31-05-2019, M, 2.75, 264855.00, 34.17
Goa, 30-06-2019, M, 13.33, 304015.00, 43.96
Goa, 31-07-2019, M, 12.28, 280367.00, 40.00
Goa, 31-08-2019, M, 4.90, 243277.00, 31.97
Goa, 30-09-2019, M, 3.60, 295698.00, 38.29
Goa, 31-10-2019, M, 12.31, 290264.00, 41.27
Goa, 30-11-2019, M, 25.20, 271612.00, 45.22
Goa, 31-12-2019, M, 16.22, 288154.00, 42.77
Goa, 31-01-2020, M, 10.92, 257814.00, 35.95
Goa, 29-02-2020, M, 4.31, 306396.00, 39.73
Goa, 31-03-2020, M, 4.76, 277093.00, 36.05
Goa, 30-04-2020, M, 11.76, 318957.00, 44.74
Goa, 31-07-2020, M, 17.50, 281739.00, 42.11
Goa, 30-09-2020, M, 21.78, 268763.00, 42.26
Goa, 31-10-2020, M, 6.12, 243180.00, 31.82
Goa, 30-11-2020, M, 16.95, 223135.00, 32.96
Goa, 31-12-2020, M, 10.53, 289057.00, 39.58
Goa, 31-01-2021, M, 20.00, 261504.00, 40.00
Goa, 28-02-2021, M, 20.00, 286879.00, 43.83
Goa, 31-03-2021, M, 15.38, 253117.00, 36.52
Goa, 30-04-2021, M, 31.03, 227829.00, 40.28
Goa, 31-05-2021, M, 22.73, 290852.00, 45.83
Goa, 30-06-2021, M, 16.07, 274080.00, 39.72
Goa, 31-07-2021, M, 19.61, 259653.00, 39.23
Goa, 31-08-2021, M, 12.68, 295427.00, 41.04
Goa, 31-10-2021, M, 12.50, 277502.00, 38.38
Goa, 30-11-2021, M, 11.76, 270794.00, 37.09
Goa, 31-12-2021, M, 16.79, 264823.00, 38.42
Goa, 31-01-2022, M, 9.65, 252043.00, 33.63
Goa, 31-03-2022, M, 11.65, 250568.00, 34.11
Goa, 30-04-2022, M, 13.71, 263570.00, 36.69
Goa, 31-05-2022, M, 11.90, 222708.00, 30.32
Goa, 30-06-2022, M, 8.33, 270044.00, 35.29
Goa, 31-07-2022, M, 10.87, 236315.00, 31.72
Goa, 31-08-2022, M, 12.90, 262722.00, 36.05
Goa, 30-09-2022, M, 11.54, 216524.00, 29.21
Goa, 31-10-2022, M, 13.86, 301598.00, 41.74
Goa, 30-11-2022, M, 16.13, 222848.00, 31.63
Goa, 31-12-2022, M, 13.60, 258783.00, 35.61
Goa, 31-01-2023, M, 11.22, 219355.00, 29.34
Goa, 28-02-2023, M, 12.09, 287012.00, 38.72
Gujarat, 31-01-2016, M, 4.96, 9033286.00, 43.25
Gujarat, 29-02-2016, M, 3.22, 9888544.00, 46.39
Gujarat, 31-03-2016, M, 6.01, 9621719.00, 46.36
Gujarat, 30-04-2016, M, 4.96, 9572466.00, 45.50
Gujarat, 31-05-2016, M, 4.32, 9197478.00, 43.32
Gujarat, 30-06-2016, M, 2.91, 10217624.00, 47.31
Gujarat, 31-07-2016, M, 4.00, 9672666.00, 45.18
Gujarat, 31-08-2016, M, 2.12, 9657796.00, 44.14
Gujarat, 30-09-2016, M, 3.34, 9534840.00, 44.02
Gujarat, 31-10-2016, M, 1.04, 10347711.00, 46.55
Gujarat, 30-11-2016, M, 2.85, 9604969.00, 43.90
Gujarat, 31-12-2016, M, 3.57, 10051273.00, 46.17
Gujarat, 31-01-2017, M, 2.99, 9506381.00, 43.30
Gujarat, 28-02-2017, M, 1.81, 10383705.00, 46.62
Gujarat, 31-03-2017, M, 2.96, 9673912.00, 43.84
Gujarat, 30-04-2017, M, 1.86, 10102886.00, 45.16
Gujarat, 31-05-2017, M, 1.08, 10107649.00, 44.72
Gujarat, 30-06-2017, M, 2.02, 10377611.00, 46.24
Gujarat, 31-07-2017, M, 4.36, 9287775.00, 42.29
Gujarat, 31-08-2017, M, 2.96, 10051933.00, 45.00
Gujarat, 30-09-2017, M, 4.41, 10081060.00, 45.70
Gujarat, 31-10-2017, M, 5.99, 10318611.00, 47.44
Gujarat, 30-11-2017, M, 2.22, 9540726.00, 42.08
Gujarat, 31-12-2017, M, 1.22, 10011867.00, 43.60
Gujarat, 31-01-2018, M, 2.84, 9900750.00, 43.72
Gujarat, 28-02-2018, M, 7.67, 10261105.00, 47.58
Gujarat, 31-03-2018, M, 3.78, 9900222.00, 43.94
Gujarat, 30-04-2018, M, 5.45, 9762952.00, 43.99
Gujarat, 31-05-2018, M, 4.28, 9589434.00, 42.57
Gujarat, 30-06-2018, M, 6.90, 9945586.00, 45.29
Gujarat, 31-07-2018, M, 3.64, 9870603.00, 43.31
Gujarat, 31-08-2018, M, 4.99, 9930988.00, 44.09
Gujarat, 30-09-2018, M, 4.11, 9408128.00, 41.29
Gujarat, 31-10-2018, M, 6.74, 10136183.00, 45.62
Gujarat, 30-11-2018, M, 4.79, 9938084.00, 43.70
Gujarat, 31-12-2018, M, 3.65, 10217226.00, 44.29
Gujarat, 31-01-2019, M, 5.64, 10055662.00, 44.40
Gujarat, 28-02-2019, M, 5.70, 10481290.00, 46.20
Gujarat, 31-03-2019, M, 5.24, 9875303.00, 43.21
Gujarat, 30-04-2019, M, 3.37, 10166824.00, 43.52
Gujarat, 31-05-2019, M, 4.09, 9686560.00, 41.67
Gujarat, 30-06-2019, M, 6.31, 10144964.00, 44.57
Gujarat, 31-07-2019, M, 5.15, 9828020.00, 42.54
Gujarat, 31-08-2019, M, 4.20, 10228160.00, 43.72
Gujarat, 30-09-2019, M, 5.96, 9608852.00, 41.74
Gujarat, 31-10-2019, M, 5.45, 10474218.00, 45.14
Gujarat, 30-11-2019, M, 7.53, 9896124.00, 43.50
Gujarat, 31-12-2019, M, 5.71, 10172814.00, 43.75
Gujarat, 31-01-2020, M, 5.82, 9824501.00, 42.19
Gujarat, 29-02-2020, M, 6.04, 10784753.00, 46.31
Gujarat, 31-03-2020, M, 5.39, 10083026.00, 42.90
Gujarat, 30-04-2020, M, 25.94, 6701284.00, 36.33
Gujarat, 31-05-2020, M, 11.22, 6096155.00, 27.50
Gujarat, 30-06-2020, M, 5.42, 10386630.00, 43.88
Gujarat, 31-07-2020, M, 3.47, 10381028.00, 42.86
Gujarat, 31-08-2020, M, 2.99, 10205453.00, 41.82
Gujarat, 30-09-2020, M, 3.67, 9969698.00, 41.04
Gujarat, 31-10-2020, M, 5.68, 11435921.00, 47.96
Gujarat, 30-11-2020, M, 2.79, 9845883.00, 39.97
Gujarat, 31-12-2020, M, 5.09, 9699852.00, 40.23
Gujarat, 31-01-2021, M, 3.31, 10116645.00, 41.08
Gujarat, 28-02-2021, M, 3.35, 10599802.00, 42.96
Gujarat, 31-03-2021, M, 2.18, 9999748.00, 39.94
Gujarat, 30-04-2021, M, 1.99, 10580660.00, 42.08
Gujarat, 31-05-2021, M, 2.35, 10467889.00, 41.68
Gujarat, 30-06-2021, M, 2.14, 10636113.00, 42.15
Gujarat, 31-07-2021, M, 3.04, 10306416.00, 41.12
Gujarat, 31-08-2021, M, 2.12, 10691403.00, 42.15
Gujarat, 30-09-2021, M, 2.09, 10759659.00, 42.30
Gujarat, 31-10-2021, M, 1.84, 11205553.00, 43.83
Gujarat, 30-11-2021, M, 2.37, 10730429.00, 42.10
Gujarat, 31-12-2021, M, 2.13, 10895970.00, 42.53
Gujarat, 31-01-2022, M, 1.27, 10579486.00, 40.83
Gujarat, 28-02-2022, M, 2.82, 11599126.00, 45.38
Gujarat, 31-03-2022, M, 2.17, 10563687.00, 40.95
Gujarat, 30-04-2022, M, 1.97, 11075855.00, 42.74
Gujarat, 31-05-2022, M, 1.47, 10907276.00, 41.77
Gujarat, 30-06-2022, M, 2.51, 11596846.00, 44.78
Gujarat, 31-07-2022, M, 2.48, 10684280.00, 41.14
Gujarat, 31-08-2022, M, 1.73, 10491923.00, 39.99
Gujarat, 30-09-2022, M, 1.43, 10605258.00, 40.20
Gujarat, 31-10-2022, M, 2.74, 11255583.00, 43.13
Gujarat, 30-11-2022, M, 1.40, 11343515.00, 42.77
Gujarat, 31-12-2022, M, 2.66, 11329839.00, 43.16
Gujarat, 31-01-2023, M, 2.12, 10995029.00, 41.55
Gujarat, 28-02-2023, M, 3.67, 11661623.00, 44.67
Haryana, 31-01-2016, M, 18.37, 2824404.00, 46.41
Haryana, 29-02-2016, M, 15.62, 2876440.00, 45.61
Haryana, 31-03-2016, M, 15.87, 2706342.00, 42.93
Haryana, 30-04-2016, M, 16.11, 2904357.00, 46.08
Haryana, 31-05-2016, M, 16.95, 2856903.00, 45.66
Haryana, 30-06-2016, M, 13.87, 2843202.00, 43.70
Haryana, 31-07-2016, M, 11.19, 2675798.00, 39.79
Haryana, 31-08-2016, M, 9.80, 2937689.00, 42.89
Haryana, 30-09-2016, M, 12.18, 2833165.00, 42.38
Haryana, 31-10-2016, M, 11.83, 2870908.00, 42.66
Haryana, 30-11-2016, M, 11.28, 2708254.00, 39.89
Haryana, 31-12-2016, M, 9.26, 2822659.00, 40.54
Haryana, 31-01-2017, M, 10.58, 2724443.00, 39.60
Haryana, 28-02-2017, M, 7.75, 2881211.00, 40.50
Haryana, 31-03-2017, M, 1.52, 2740393.00, 35.98
Haryana, 30-04-2017, M, 2.22, 2886732.00, 38.08
Haryana, 31-05-2017, M, 5.67, 2771846.00, 37.80
Haryana, 30-06-2017, M, 4.55, 2765416.00, 37.17
Haryana, 31-07-2017, M, 2.99, 2575820.00, 33.97
Haryana, 31-08-2017, M, 3.81, 2867516.00, 38.04
Haryana, 30-09-2017, M, 15.92, 2780022.00, 42.09
Haryana, 31-10-2017, M, 13.30, 2841367.00, 41.60
Haryana, 30-11-2017, M, 10.71, 2674678.00, 37.93
Haryana, 31-12-2017, M, 14.97, 2754191.00, 40.90
Haryana, 31-01-2018, M, 17.53, 2812431.00, 42.95
Haryana, 28-02-2018, M, 12.00, 2809970.00, 40.12
Haryana, 31-03-2018, M, 13.24, 2583067.00, 37.30
Haryana, 30-04-2018, M, 17.03, 2655590.00, 40.00
Haryana, 31-05-2018, M, 21.89, 2608490.00, 41.62
Haryana, 30-06-2018, M, 18.74, 2796464.00, 42.78
Haryana, 31-07-2018, M, 19.15, 2516337.00, 38.59
Haryana, 31-08-2018, M, 19.44, 2646010.00, 40.61
Haryana, 30-09-2018, M, 22.67, 2661870.00, 42.45
Haryana, 31-10-2018, M, 18.74, 2932008.00, 44.38
Haryana, 30-11-2018, M, 22.01, 2420680.00, 38.08
Haryana, 31-12-2018, M, 22.52, 2601601.00, 41.08
Haryana, 31-01-2019, M, 24.45, 2637471.00, 42.60
Haryana, 28-02-2019, M, 21.70, 2819539.00, 43.83
Haryana, 31-03-2019, M, 24.27, 2393577.00, 38.37
Haryana, 30-04-2019, M, 23.85, 2599119.00, 41.33
Haryana, 31-05-2019, M, 24.67, 2693596.00, 43.18
Haryana, 30-06-2019, M, 20.42, 2845190.00, 43.06
Haryana, 31-07-2019, M, 25.45, 2405973.00, 38.77
Haryana, 31-08-2019, M, 24.19, 2523005.00, 39.87
Haryana, 30-09-2019, M, 26.73, 2678057.00, 43.67
Haryana, 31-10-2019, M, 21.04, 2821458.00, 42.58
Haryana, 30-11-2019, M, 27.06, 2404240.00, 39.18
Haryana, 31-12-2019, M, 23.65, 2548833.00, 39.57
Haryana, 31-01-2020, M, 27.24, 2630938.00, 42.75
Haryana, 29-02-2020, M, 23.29, 2752834.00, 42.32
Haryana, 31-03-2020, M, 27.14, 2275407.00, 36.73
Haryana, 30-04-2020, M, 46.89, 1606580.00, 35.48
Haryana, 31-05-2020, M, 38.46, 2013083.00, 38.27
Haryana, 30-06-2020, M, 28.39, 2357651.00, 38.42
Haryana, 31-07-2020, M, 34.05, 2360482.00, 41.65
Haryana, 31-08-2020, M, 36.05, 2519777.00, 45.73
Haryana, 30-09-2020, M, 28.80, 2461725.00, 40.02
Haryana, 31-10-2020, M, 21.09, 2464280.00, 36.05
Haryana, 30-11-2020, M, 38.12, 2362602.00, 43.96
Haryana, 31-12-2020, M, 37.82, 2448109.00, 45.21
Haryana, 31-01-2021, M, 27.96, 2561204.00, 40.72
Haryana, 28-02-2021, M, 19.55, 2535406.00, 36.00
Haryana, 31-03-2021, M, 37.27, 2420509.00, 43.96
Haryana, 30-04-2021, M, 41.52, 2425486.00, 47.13
Haryana, 31-05-2021, M, 41.39, 2095161.00, 40.51
Haryana, 30-06-2021, M, 24.35, 2467316.00, 36.87
Haryana, 31-07-2021, M, 38.40, 2438210.00, 44.62
Haryana, 31-08-2021, M, 39.21, 2479066.00, 45.85
Haryana, 30-09-2021, M, 29.61, 2642849.00, 42.10
Haryana, 31-10-2021, M, 20.74, 2639379.00, 37.24
Haryana, 30-11-2021, M, 38.11, 2496641.00, 44.99
Haryana, 31-12-2021, M, 39.80, 2481688.00, 45.86
Haryana, 31-01-2022, M, 31.01, 2606245.00, 41.91
Haryana, 28-02-2022, M, 21.86, 2703343.00, 38.29
Haryana, 31-03-2022, M, 37.83, 2530163.00, 44.92
Haryana, 30-04-2022, M, 39.01, 2626353.00, 47.41
Haryana, 31-05-2022, M, 32.38, 2589749.00, 42.05
Haryana, 30-06-2022, M, 23.85, 2596591.00, 37.34
Haryana, 31-07-2022, M, 37.58, 2555617.00, 44.71
Haryana, 31-08-2022, M, 41.12, 2592417.00, 47.95
Haryana, 30-09-2022, M, 30.85, 2577829.00, 40.49
Haryana, 31-10-2022, M, 24.87, 2633950.00, 37.98
Haryana, 30-11-2022, M, 39.92, 2560127.00, 46.04
Haryana, 31-12-2022, M, 41.21, 2687956.00, 49.27
Haryana, 31-01-2023, M, 29.41, 2657144.00, 40.45
Haryana, 28-02-2023, M, 23.85, 2533074.00, 35.66
Himachal Pradesh, 31-01-2016, M, 2.30, 251798.00, 44.74
Himachal Pradesh, 29-02-2016, M, 1.27, 249950.00, 43.89
Himachal Pradesh, 31-03-2016, M, 2.66, 234899.00, 41.78
Himachal Pradesh, 30-04-2016, M, 12.03, 217295.00, 42.70
Himachal Pradesh, 31-05-2016, M, 1.87, 247231.00, 43.50
Himachal Pradesh, 30-06-2016, M, 3.51, 242901.00, 43.40
Himachal Pradesh, 31-07-2016, M, 14.63, 235293.00, 47.45
Himachal Pradesh, 31-08-2016, M, 8.20, 218610.00, 40.94
Himachal Pradesh, 30-09-2016, M, 1.35, 268542.00, 46.74
Himachal Pradesh, 31-10-2016, M, 3.51, 253934.00, 45.12
Himachal Pradesh, 30-11-2016, M, 3.51, 235630.00, 41.81
Himachal Pradesh, 31-12-2016, M, 4.88, 231586.00, 41.62
Himachal Pradesh, 31-01-2017, M, 1.90, 262306.00, 45.65
Himachal Pradesh, 28-02-2017, M, 5.42, 241673.00, 43.57
Himachal Pradesh, 31-03-2017, M, 8.62, 238830.00, 44.50
Himachal Pradesh, 30-04-2017, M, 4.71, 229026.00, 40.87
Himachal Pradesh, 31-05-2017, M, 1.10, 265027.00, 45.50
Himachal Pradesh, 30-06-2017, M, 4.12, 250993.00, 44.39
Himachal Pradesh, 31-07-2017, M, 5.41, 240918.00, 43.12
Himachal Pradesh, 31-08-2017, M, 5.95, 232452.00, 41.79
Himachal Pradesh, 30-09-2017, M, 1.00, 250757.00, 42.77
Himachal Pradesh, 31-10-2017, M, 10.94, 247963.00, 46.94
Himachal Pradesh, 30-11-2017, M, 15.70, 236552.00, 47.25
Himachal Pradesh, 31-12-2017, M, 20.27, 236029.00, 49.78
Himachal Pradesh, 31-01-2018, M, 2.83, 243917.00, 42.15
Himachal Pradesh, 28-02-2018, M, 15.84, 240609.00, 47.94
Himachal Pradesh, 31-03-2018, M, 17.11, 239638.00, 48.41
Himachal Pradesh, 30-04-2018, M, 21.96, 227491.00, 48.75
Himachal Pradesh, 31-05-2018, M, 7.56, 250128.00, 45.18
Himachal Pradesh, 30-06-2018, M, 16.89, 240404.00, 48.24
Himachal Pradesh, 31-07-2018, M, 18.67, 233332.00, 47.77
Himachal Pradesh, 31-08-2018, M, 19.40, 235767.00, 48.64
Himachal Pradesh, 30-09-2018, M, 9.43, 248305.00, 45.52
Himachal Pradesh, 31-10-2018, M, 18.36, 234300.00, 47.59
Himachal Pradesh, 30-11-2018, M, 16.96, 233025.00, 46.46
Himachal Pradesh, 31-12-2018, M, 20.10, 230061.00, 47.61
Himachal Pradesh, 31-01-2019, M, 10.42, 246145.00, 45.37
Himachal Pradesh, 28-02-2019, M, 17.65, 238373.00, 47.73
Himachal Pradesh, 31-03-2019, M, 20.81, 226098.00, 47.02
Himachal Pradesh, 30-04-2019, M, 23.42, 227807.00, 48.92
Himachal Pradesh, 31-05-2019, M, 10.88, 245668.00, 45.27
Himachal Pradesh, 30-06-2019, M, 21.43, 237576.00, 49.58
Himachal Pradesh, 31-07-2019, M, 21.51, 235894.00, 49.22
Himachal Pradesh, 31-08-2019, M, 24.48, 236315.00, 51.17
Himachal Pradesh, 30-09-2019, M, 12.00, 247210.00, 45.87
Himachal Pradesh, 31-10-2019, M, 23.77, 232322.00, 49.69
Himachal Pradesh, 30-11-2019, M, 27.27, 233029.00, 52.17
Himachal Pradesh, 31-12-2019, M, 25.32, 241366.00, 52.55
Himachal Pradesh, 31-01-2020, M, 18.15, 246596.00, 48.92
Himachal Pradesh, 29-02-2020, M, 27.31, 227804.00, 50.82
Himachal Pradesh, 31-03-2020, M, 26.44, 221432.00, 48.74
Himachal Pradesh, 30-04-2020, M, 2.70, 146957.00, 24.42
Himachal Pradesh, 31-05-2020, M, 38.35, 165588.00, 43.37
Himachal Pradesh, 30-06-2020, M, 18.75, 218439.00, 43.35
Himachal Pradesh, 31-07-2020, M, 26.55, 215686.00, 47.28
Himachal Pradesh, 31-08-2020, M, 27.40, 227861.00, 50.46
Himachal Pradesh, 30-09-2020, M, 11.84, 231828.00, 42.22
Himachal Pradesh, 31-10-2020, M, 13.81, 210605.00, 39.18
Himachal Pradesh, 30-11-2020, M, 18.18, 208708.00, 40.84
Himachal Pradesh, 31-12-2020, M, 14.67, 221162.00, 41.44
Himachal Pradesh, 31-01-2021, M, 12.61, 228413.00, 41.73
Himachal Pradesh, 28-02-2021, M, 16.22, 208612.00, 39.70
Himachal Pradesh, 31-03-2021, M, 17.24, 221211.00, 42.56
