Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 28-02-2023, M, 8.11, 4857255.00, 35.30
Assam, 31-01-2016, M, 6.33, 1529922.00, 43.76
Assam, 29-02-2016, M, 9.06, 1525023.00, 44.85
Assam, 31-03-2016, M, 5.17, 1549321.00, 43.61
Assam, 30-04-2016, M, 4.27, 1463823.00, 40.73
Assam, 31-05-2016, M, 4.75, 1531985.00, 42.76
Assam, 30-06-2016, M, 5.79, 1500608.00, 42.27
Assam, 31-07-2016, M, 7.14, 1422857.00, 40.58
Assam, 31-08-2016, M, 13.01, 1398425.00, 42.49
Assam, 30-09-2016, M, 9.57, 1571843.00, 45.85
Assam, 31-10-2016, M, 10.51, 1499277.00, 44.11
Assam, 30-11-2016, M, 3.39, 1583464.00, 43.07
Assam, 31-12-2016, M, 5.78, 1483416.00, 41.28
Assam, 31-01-2017, M, 5.90, 1520605.00, 42.29
Assam, 28-02-2017, M, 10.08, 1580275.00, 45.91
Assam, 30-04-2017, M, 1.76, 1522277.00, 40.32
Assam, 31-05-2017, M, 7.50, 1536237.00, 43.13
Assam, 30-06-2017, M, 9.66, 1631643.00, 46.81
Assam, 31-07-2017, M, 11.67, 1495704.00, 43.80
Assam, 31-08-2017, M, 8.70, 1586713.00, 44.86
Assam, 30-09-2017, M, 6.62, 1554968.00, 42.90
Assam, 31-10-2017, M, 17.88, 1608300.00, 50.35
Assam, 30-11-2017, M, 15.62, 1471621.00, 44.76
Assam, 31-12-2017, M, 7.83, 1432752.00, 39.81
Assam, 31-01-2018, M, 4.13, 1634418.00, 43.57
Assam, 28-02-2018, M, 15.77, 1665831.00, 50.45
Assam, 31-03-2018, M, 8.00, 1613272.00, 44.64
Assam, 30-04-2018, M, 13.26, 1647738.00, 48.27
Assam, 31-05-2018, M, 4.45, 1664302.00, 44.17
Assam, 30-06-2018, M, 15.61, 1641282.00, 49.22
Assam, 31-07-2018, M, 10.89, 1542648.00, 43.72
Assam, 31-08-2018, M, 14.88, 1608877.00, 47.64
Assam, 30-09-2018, M, 7.14, 1677903.00, 45.45
Assam, 31-10-2018, M, 8.91, 1575941.00, 43.43
Assam, 30-11-2018, M, 6.58, 1540123.00, 41.30
Assam, 31-12-2018, M, 11.07, 1622208.00, 45.61
Assam, 31-01-2019, M, 6.97, 1687708.00, 45.27
Assam, 28-02-2019, M, 10.46, 1619586.00, 45.05
Assam, 31-03-2019, M, 4.76, 1712014.00, 44.68
Assam, 30-04-2019, M, 11.69, 1628844.00, 45.76
Assam, 31-05-2019, M, 7.87, 1671707.00, 44.92
Assam, 30-06-2019, M, 9.89, 1647343.00, 45.17
Assam, 31-07-2019, M, 3.21, 1739837.00, 44.32
Assam, 31-08-2019, M, 10.39, 1595581.00, 43.81
Assam, 30-09-2019, M, 9.26, 1576479.00, 42.66
Assam, 31-10-2019, M, 11.17, 1595175.00, 44.01
Assam, 30-11-2019, M, 6.31, 1708045.00, 44.59
Assam, 31-12-2019, M, 5.02, 1722303.00, 44.26
Assam, 31-01-2020, M, 7.24, 1630908.00, 42.82
Assam, 29-02-2020, M, 9.98, 1625454.00, 43.90
Assam, 31-03-2020, M, 10.34, 1664145.00, 45.03
Assam, 30-04-2020, M, 8.37, 1454956.00, 38.45
Assam, 31-05-2020, M, 10.77, 1441722.00, 39.04
Assam, 30-06-2020, M, 3.42, 1551007.00, 38.73
Assam, 31-07-2020, M, 5.85, 1610505.00, 41.16
Assam, 31-08-2020, M, 8.21, 1571160.00, 41.10
Assam, 30-09-2020, M, 3.42, 1587541.00, 39.39
Assam, 31-10-2020, M, 3.48, 1665619.00, 41.27
Assam, 30-11-2020, M, 2.69, 1735014.00, 42.56
Assam, 31-12-2020, M, 0.76, 1653884.00, 39.70
Assam, 31-01-2021, M, 0.94, 1622427.00, 38.93
Assam, 28-02-2021, M, 2.41, 1684131.00, 40.94
